Attribute_1,Attribute_2,Attribute_3,Attribute_4,Attribute_5,Attribute_6,Attribute_7
mbrainz_5260,The Fragile Army,"Polyphonic Spree, The",2007-08-27,United Kingdom of Great Britain and Northern Ireland,"[""Section 21: Together We're Heavy"", 'Section 22: Running Away', 'Section 23: Get Up and Go', 'Section 24: The Fragile Army', 'Section 25: Younger Yesterday', 'Section 26: We Crawl', 'Section 27: Mental Cabaret', 'Section 28: Guaranteed Nightlite', 'Section 29: Light to Follow', 'Section 30: Watch Us Explode (Justify)', 'Section 31: Overblow Your Nest', 'Section 32: The Championship', 'Lithium', 'Checking Out']",
mbrainz_5262,Hotel California,Moonraisers,2006-12,Switzerland,"['Hotel California (radio)', '$ Ship', 'Hotel California (extended)']",
mbrainz_5280,Unfold the Future,"Flower Kings, The",2002-11-04,Germany,"['The Truth Will Set You Free', 'Monkey Business', 'Black and White', 'Christianopel', 'Silent Inferno', 'The Navigator', 'Vox Humana', 'Genie in a Bottle', 'Fast Lane', 'Grand Old World', 'Soul Vortex', ""Rollin' the Dice"", ""The Devil's Danceschool"", 'Man Overboard', 'Solitary Shell', ""Devil's Playground"", 'Too Late for Tomatos']",77.3 minutes
mbrainz_5285,At the Controls,Agoria,2007-10-05,United Kingdom of Great Britain and Northern Ireland,"[""Instants d'hiver"", 'The Paperwork Explosion / TGV Lyon - Lille', 'Halikarnas', 'Very Wrong (Chaim mix)', 'Que Pasa Maria', 'Noovy / Dour Festival Truck', ""Crashed by Myself / Belgium's Direction"", 'Blank Images', 'The Melody (Balil remix)', 'The Paperwork Explosion', 'Housedays (Koljah remix)', 'Hang Around (Wahoo main mix)', 'Searching', 'From Dusk Till Down (TG remix)', 'Acid Bells', 'Tuesday Paranoia', 'Smile & Receive (Apparat remix)', 'Losing the Will to Survive (Beyond the Wizards Sleeve Reanimation)', 'Belize', 'Be Kind to Me', 'Ol', 'Your Arrival Is Our Arrival / Tourbus Back', ""Bela Lugosi's Dead"", 'Agai', 'Cosmos 1', 'Bora', 'Flight of the Albatross', 'Massage Situation', 'Wayfaring Stranger (Burial remix)', 'Repeat', 'Lunatic Fringe', 'Dark Soldier', 'When Are You Gonna Start', ""Lyon Part Dieu Station CafÃ©'s Store"", 'Drink to Moving On', 'Love Can Damage Your Health (Abicah / Dennis Ferrer remix)', 'My Space', 'RIP / Les Ã‰changes', 'Arcadia']",63.33 minutes
mbrainz_5290,Strange Liberation,"Douglas, Dave",2004-01-27,United States of America,"['A Single Sky', 'Strange Liberation', 'Skeeter-ism', 'Just Say This', 'Seventeen', 'Mountains From the Train', 'Rock of Billy', 'The Frisell Dream', 'Passing Through', 'The Jones', 'Catalyst']",
mbrainz_5293,Mercury,Khujo Goodie,2007-07-31,United States of America,"['Ultimate Husla', ""We Ane Askin'"", 'Dirty South Nigga', ""She Killin' It"", 'Like Diss', ""Make 'Em Trap"", 'No Brown Nosing', 'We So Dirty', '25 Ambulances', ""Shittin' Me"", ""Y'All Boyz"", 'My Choppa', 'I Am']",
mbrainz_5294,Sintesi da un diario,"Petronella, Angelo",2007-01-01,Italy,"['Voce e macchina', 'Tratto 1', 'Habitat', 'Tratto 2', 'Lamento', 'Tratto 3', 'Un canto', 'Tratto 4']",
mbrainz_5299,Devotions,"BjÃ¸rnstad, Ketil",2007-10-15,Norway,"['The Window (Evening version)', 'Here', 'The Moon Arising', 'The Tree in the Courtyard', 'Silhouettes', 'I Will Go There', 'The First Room', 'Confession', 'Approaching', 'Devotion', 'Dance of Life: I. White (The Innocence)', 'Dance of Life: II. Red (The Passion)', 'Dance of Life: III. Black (The Sorrow)', 'The Inner Story', 'A Sudden Thought', 'Nexus']",
mbrainz_5301,Constellation of Tragedy,LSD March,2007-11,United States of America,"['Aka I Yoru', 'Musuu No Taiyo', 'Kimi Wa Tengoku', 'Moeru Pyramid', 'Kanashii Seiza']",
mbrainz_5305,Cobra Sunrise,Ghostride,2004-01-01,United States of America,"['Star Magic', '3 AM Cobra', 'Rotten Pig Iron', 'White Wings Of Death', 'Bear Trap', 'Spearment Whino', '10 Lb Blowgun', 'Diamondhawk', 'Snowflakes That Kill', 'Fire Shop', 'Keeping The Sixer', 'Star Magic Outtro']",
mbrainz_5311,Selections From Sky Blue Sky,Wilco,2007-01-01,United States of America,"['Impossible Germany', 'Sky Blue Sky', 'Walken']",
mbrainz_5312,Purple Love Balloon,CUD,1992-01-01,United Kingdom of Great Britain and Northern Ireland,"['Purple Love Balloon', 'Remember What It Is That You Love', 'Purple Love Balloon (US album mix)', 'Purple Love Balloon (Killer Rabit mix (Omatosis))']",
mbrainz_5315,Promenade,Underground Lovers,1992-01-01,Australia,"['Promenade', 'Leaves Me Blind', 'Live GI', 'Get It On']",
mbrainz_5321,Now Here,a certain frank feat.,2007-07-06,Germany,"[""L'argent"", 'Oxy', 'Trancelingen', 'Now Here', 'The Earth Is Round', 'Come to Me', 'Nowhere', 'Positive', 'Himalaya', ""C'est la vie"", 'Wald']",
mbrainz_5338,Temporary Shelter,"Dowd, Johnny",2000-01-01,Germany,"['Stumble and Fall', 'Vengeance Is Mine', 'Cradle to the Grave', 'Big Wave', 'Hell or High Water', 'Angel Eyes', 'Golden Rule', 'Hideaway', 'Sky Above, Mud Below', 'Planet Happiness', 'Death Comes Knocking']",
mbrainz_5346,Casino,"Di Meola, Al",1991-08-12,,"['Egyptian Danza', ""Chasin' the Voodoo"", 'Dark Eye Tango', 'SeÃ±or Mouse', 'Fantasia Suite for Two Guitars: a. Viva la danzarina / b. Guitars of the Exotic Isle / c. Rhapsody Italia / d. Bravoto Fantasia', 'Casino']",
mbrainz_5347,Defective Epitaph,Xasthur,2007-09-25,United States of America,"['Soulless Elegy', 'Purgatory Spiral', 'Cemetery of Shattered Masks', 'Malignant Prophecy', 'Oration of Ruin', 'Legacy of Human Irrelevance', 'Dehumanizing Procession', 'Funerals Drenched in Apathy', 'Worship (The War Against) Yourself', 'Memorial to the Waste of Life', 'The Only Blood That Pours Is Yours', 'Unblessed Be']",
mbrainz_5358,Stella Obscura,Opera Multi Steel,1992-01-01,France,"['Benedictus', 'Spacio astro', 'Tant royale est sa lumiÃ¨re', 'Exaucez-nous', 'Tes lÃ¨vres, un abat-son', 'Les prophÃ¨tes', 'Du chant des elfes', 'Les arbres attendent', 'Les martyrs', 'Mieux les hommes vivent', 'GrÃ©goire', 'Sol lucet omnibus', 'Armide (Winter mix)', 'Noire et verte', 'La voix qui sauve', ""Pilgrim's Song"", 'Memorias de vigo']",
mbrainz_5361,Under the Balcony,"Chica and Folder, The",2007-09-27,Germany,"['HuÃ©rfanos', 'Perfect Day (Sometimes)', 'All Inclusive', 'Dancing Been', 'Desde el BalcÃ³n', 'Angelus Novus', 'Sacrificio', 'DÃ\xadas Amarillos', 'SoufflÃ©', 'Monte Rosa', 'Happy', 'Fest der Grillen']",
mbrainz_5364,Vision Creation Newsun,Boredoms,1999-12-10,Japan,"['â—‹', 'â˜†', 'â™¡', '[ã?†ã?šã?¾ã??]', 'ã€œ', 'â—Ž', 'â†‘', 'Î©', 'ã?šã?£ã?¨']",
mbrainz_5370,Terminate Damnation,Becoming the Archetype,2005-08-30,United States of America,"['March of the Dead', 'Into Oblivion', 'One Man Parade', 'Elegy', ""Night's Sorrow"", 'The Epigone', 'Beyond Adaptation', 'No Fall Too Far', 'Ex Nihilo', 'Denouement', 'The Trivial Paroxysm']",
mbrainz_5379,Shelter From the Ash,Six Organs of Admittance,2007-11-20,United States of America,"['Alone With the Alone', 'Strangled Road', 'Jade Like Wine', 'Coming to Get You', 'Goddess Atonement', 'Final Wing', 'Shelter From the Ash', 'Goodnight']",
mbrainz_5380,Casino Classics,Comet Gain,1995-03-16,United Kingdom of Great Britain and Northern Ireland,"['Footstompers', 'A Million and Nine', 'Turnpike', 'Last Night', 'Original Arrogance', 'Another Girl', 'Music Upstairs', 'Villain', 'Stay With Me Til Morning', 'Charlie', 'Just Fourteen', 'Ghost of the Roman Empire', 'Intergalactic Starbed', 'Chevron Action Flash']",
mbrainz_5386,Reflections On the Future (album),Twenty Sixty Six and Then,1972-01-01,Germany,"['At My Home', 'Autumn', 'Butterking', 'Reflections of the Future', 'How Would You Feel']",
mbrainz_5387,Adrenaline Drive,Sharonas,2005-09-26,Germany,"['So So So', 'Whew', 'Come On', 'My My My', 'Riot for Hire', 'They Come', 'We Got Love', 'Alright', 'Fire Below', ""Don't Need It"", 'Hello']",
mbrainz_5391,Angel / Sweet Dreams (Nightmare mix),Eurythmics,1990-01-01,United Kingdom of Great Britain and Northern Ireland,"['Angel', 'Sweet Dreams (Nightmare mix)']",
mbrainz_5404,Purple Nights (release),Joana And The Wolf (and others),2006-01-01,United Kingdom of Great Britain and Northern Ireland,"['Purple Nights', 'November']",
mbrainz_5411,Sweetheart Contract,Magazine,1980-07,United Kingdom of Great Britain and Northern Ireland,"['Sweetheart Contract', 'Feed the Enemy (live)', 'Twenty Years Ago (live)', 'Shot by Both Sides (live)']",
mbrainz_5415,Beyond the Apocalypse,1349,2004-04-19,United Kingdom of Great Britain and Northern Ireland,"['Chasing Dragons', 'Beyond the Apocalypse', 'Aiwass-Aeon', 'Nekronatalenheten', 'Perished in Pain', 'Singer of Strange Songs', 'Blood Is the Mortar', 'Internal Winter', 'The Blade']",
mbrainz_5422,Trouble / Division One,Scorpio,1997-01-01,United Kingdom of Great Britain and Northern Ireland,"['Trouble', 'Division One']",
mbrainz_5424,Happiness Is Easy,Myslovitz,2006-05-19,Poland,"['Fikcja jest modna', 'ÅšciÄ…Ä‡ wysokie drzewa', 'MieÄ‡ czy byÄ‡', 'Spacer w bokserskich rÄ™kawicach', 'Kilka uÅ›ciskÃ³w, kilka snÃ³w', 'W deszczu maleÅ„kich Å¼Ã³Å‚tych kwiatÃ³w', 'GadajÄ…ce gÅ‚owy 80-06', 'Ty i ja i wszystko co mamy', 'Nocnym pociÄ…giem aÅ¼ do koÅ„ca Å›wiata', 'KsiÄ…Å¼e Å¼ycia umiera', 'ZÅ‚e mi siÄ™ Å›ni', 'ZnÃ³w wszystko poszÅ‚o nie tak', 'Czytanka dla niegrzecznych']",
mbrainz_5431,Contrast,Joker Juice,2007-10-25,Italy,"['Starcase', 'Experience', 'Season Rebirth', 'Go Fly', 'Jazz Friends', 'Island', 'Paradise', 'Nature Devotion', 'Mediterraneo', ""Angel's Guitar"", 'Vinyl Lovers', 'Alien Believer', 'Experience (Bossa remix)']",
mbrainz_5434,Smart Echoes for Sensitive Ears,Audiokonstrukte,2007-11-06,,"['Sensitive Poem', 'In Sleepy Town', 'Sensi City', 'Dusty Atmosphere', 'Neurospiderweb', 'Microtraffic', 'Soki Nyha Ten', 'Slow the Moment', 'Quiet Mood', 'Disfiction', 'Fruitcrashes', 'Karmakoma', 'Parkbench']",
mbrainz_5444,Crazy World,Kisha,,,"['Alive', 'Hello', 'One Second', 'Shame', 'Nobody Like Me', 'Crazy World', 'Sometimes', 'Read Between The Lines', 'Survivor', 'Angels', 'Trying To Control Me', 'Thank You', 'Probably', 'Anything But Love']",
mbrainz_5463,Joyride,Oleander,2003-01-01,United States of America,"['Hands Off the Wheel', ""Don't Break My Fall"", 'Fountain & Vine', '30 60 90', 'Rainy Day', 'Off & On', 'Better Luck Next Time', 'Joyride', 'King of Good Intentions', 'Leave it all Behind', 'Runaway Train']",
mbrainz_5464,California Soul,Tamba 4,1969-01-01,United States of America,California Soul,
mbrainz_5466,Don't Give Up,"Bride, Tina",,,"[""Don't Give Up"", ""Don't Give Up (12')"", ""Don't Give Up (instrumental)""]",
mbrainz_5470,Raising the Spirits E.P.,Access 58 feat.,2001-02-19,United Kingdom of Great Britain and Northern Ireland,"['The Story So Far', 'Popcorn', 'Innocent Soul']",
mbrainz_5478,The Concrete's Always Grayer on the Other Side of the Street,VietNam,2004-01-01,United States of America,"['Too Tired', 'Makes No Difference', 'Princess', 'Apoclaypse', 'Lullabye']",
mbrainz_5479,Broken Sun EP,Frequent C,2007-12-12,United States of America,"['Leaves Falling In Reverse', 'Broken Sun', 'Psychoactive Solar Reaction', 'Skyward', 'Haze', 'Spinning In The Field']",
mbrainz_5482,The Rising,Purple Code,2007-11-26,,"['The Rising (original mix)', 'The Rising (deadmau5 remix)', 'The Rising (Max Graham remix)']",
mbrainz_5492,Pistols at Dawn,Cauda Pavonis,2000-01-01,United States of America,"['Sanctify', 'WKPB', 'Gift', 'Wardance (album version)', 'Monophase', ""She's the Cure"", 'Fin de Siecle (Pistols at Dawn)', 'Diabolique', 'Addiction', 'Bloodkiss', 'Houses of the Holy', 'Queen of Air and Darkness', 'Requiem', 'Athame']",
mbrainz_5498,Pure Garage Classics,"EZ, DJ feat.",2003-11-24,United Kingdom of Great Britain and Northern Ireland,"['Ez Intro 10', 'Imagine (Club Asylum remix)', 'No More Rain (Wookie vocal mix feat. Lain)', 'Champagne Dance (original mix)', ""I'm Gonna Get Through This (Human Beatbox mix)"", 'Saved My Life (original mix)', ""Why? (Matt 'Jam' Lamont & DJ Face Classic Vox mix)"", 'Re-Rewind (The Crowd Say Bo! Selecta) (original mix)', 'Fly Bi', 'Hold Me Tight (Pitch Black mix)', 'Saved Soul', 'Straight From the Heart (Bump & Flex vocal mix)', 'Scrappy', '21 Seconds (12"" version)', 'Oi!', 'My Desire (Dreem Teem remix)', ""Show Me Love (Stone's club mix)"", 'Decoy', 'Never Gonna Let You Go', 'Urban Hero', 'Messin Around', 'Coming Home', ""I Don't Smoke"", ""Movin' Too Fast"", 'Want You Back', 'I Refuse', 'Flowers', 'On Me (Mind Body & Soul)', 'Booo!', '138 Trek', 'Round the Corner', 'Anytime', 'Mindless and Broken', 'Gabriel', 'Just Turn It Up', 'Baby Boy', 'Skanked', 'I Luv U', 'This Is What I Like', 'Hold on to Me', '4 the Mind', 'Perfect Pitch', 'Things We Do', 'Dark 2003', 'All About Sex', ""Music Ain't Dead"", ""Jumpin'"", 'Ex Ex Girlfriend', ""What's the Point?"", 'Step Back']","['3536', '3354']"
mbrainz_5511,The Complete Singles Collection,ABBA,1999-11-23,Germany,"['People Need Love', 'Ring Ring', 'Waterloo', 'Waterloo (German version)', 'Honey, Honey', 'So Long', 'I Do, I Do, I Do, I Do, I Do', 'SOS', 'Mamma Mia', 'Fernando', 'Dancing Queen', 'Money, Money, Money', 'Knowing Me, Knowing You', 'The Name of the Game', 'Take a Chance on Me', 'Eagle', 'Thank You for the Music', 'Summer Night City', 'Chiquitita', 'Does Your Mother Know', 'Voulez-Vous', 'Gimme! Gimme! Gimme! (A Man After Midnight)', 'I Have a Dream', 'The Winner Takes It All', 'Super Trouper', 'Lay All Your Love on Me', 'One of Us', 'Head Over Heels', 'The Day Before You Came', 'Under Attack', 'Ring Ring (German version)', 'Happy New Year', 'Wer im Wartesaal der Liebe steht']",65.35 minutes
mbrainz_5516,The Great American Eagle Tragedy,Earth Opera feat.,2001-10-23,United States of America,"['Home to You', ""Mad Lydia's Waltz"", 'Alfie Finney', 'Sanctuary From the Law', 'All Winter Long', 'The American Eagle Tragedy', 'Roast Beef Love', ""It's Love""]",
mbrainz_5525,Happiness Is Toy Shaped (album),"Shermans, The",2001-01-01,United States of America,"['Boy With the Bright Eyes', 'Lousy Judge of Character', 'Adulthood for Beginners', 'The Umbrella Song', 'Falling Out of Love', 'Sad Kind of Life', 'July in London', 'About You', 'Cindy Sherman', 'Explode', 'Deja Vu on Repeat', 'Catch Me', ""What Life's About"", 'The Last One']",
mbrainz_5532,A Return to the Inner Experience,Sky Cries Mary,1993-01-01,United States of America,"['Walla Walla', 'Moving Like Water', 'Gone', 'Circus Church', '2000 Light Years From Home', 'When the Fear Stops', 'Lay Down Your Head', 'Rain', 'Ocean Which Humanity Is', 'Broken Down', 'Rosaleen', 'Buss to Gate 23', ""Joey's Aria"", 'We Will Fall']",
mbrainz_5542,Immersion,Mephisto Walz,1998-01-01,United States of America,"['Immersion', 'The Garden of Proserpine', 'Great Expectations', 'Age of Nothing', 'The Tyger', 'Elegy', 'Icarus', 'The Falcon to the Falconer', 'Heaven', 'Kings', 'Ode to the West Wind']",
mbrainz_5549,Sunrise,"Jones, Norah",2004-01-01,United Kingdom of Great Britain and Northern Ireland,Sunrise,
mbrainz_5566,Elevator,Room 2012,2007-12-14,Germany,"['Head Bash', 'Cuckoo Brain', 'Naughty but Nice', ""Put 'em Up"", ""Don't Let the Sun Go Down"", 'Simple Things', 'Fresh', 'Haunted', 'Take a Minute', 'Strung Out', ""No, You Can't Stay for Coffee"", 'Mr. DJ', 'Never Give Up']",
mbrainz_5567,One Step Beyondâ€¦ (Spanish),Madness,1981-01-01,United Kingdom of Great Britain and Northern Ireland,"['One Step Beyondâ€¦ (Spanish)', 'Baggy Trousers', 'Grey Day', 'Take It or Leave It']",
mbrainz_5574,Beyond the Blue,Beyond the Blue,1990-01-01,Netherlands,"['Atlantic Summer', 'More Than Ever Before', 'Here on Our Own', 'Beyond the Blue', 'Home', 'My Town', 'Intoxicated', 'Only the River Knows', 'Bleeding Heart', 'Another World', 'Romancing the Fire (instrumental)']",
mbrainz_5575,Death Beyond Sadistic Behaviour,Hindrance,,,"['Load', 'Insalobrious Surgery', 'Phobic', 'H.B.P.N.', 'Endocrinic Philosophy', 'Selective Weapons', 'Big Stench Society', 'King of the Land', 'JaurÃ\xada De Humanos', 'Tread on the Faithfull', 'Internet Burns', 'Gordas Sin Tetas', 'State']",
mbrainz_5581,A Boy From Nowhere,"Jones, Tom",1987-01-01,United Kingdom of Great Britain and Northern Ireland,"['A Boy From Nowhere', 'Excerpts From the Musical ""Matador""', 'Dance of Death']",
mbrainz_5584,Beyond the Maze,Dreadful Shadows,1998-02,Germany,"['Crusade', 'Fall', 'The Figures of Disguise', 'Ties of Time', 'Craving', 'The Soil', 'The Drowning Sun', 'Desolated Home', 'Burning the Shrouds', 'Beyond the Maze', 'Chains', 'Condemnation', 'Burning the Shrouds', 'Desolated Home', 'Craving', 'Figures of Disguise', 'True Faith', 'Homeless (Cyber edit)', 'The Soil']",42.13 minutes
mbrainz_5586,Hammering the Cramps / Spirit Ditch,Sparklehorse,1996-01-01,United Kingdom of Great Britain and Northern Ireland,"['Hammering the Cramps', 'Spirit Ditch']",
mbrainz_5594,Eidetic Visions,Xurba,2007-12-21,United Kingdom of Great Britain and Northern Ireland,"['X-Inertia', 'Backouter', 'X-Interstruct', 'Ennui', 'Interlock', 'Elle', 'In Darker Places', 'Xi Angelica']",
mbrainz_5596,Obscuration,Raspad Atoma,2008-01-08,,"['Evening Felt', 'Gloom Cradling', 'Inner Purity', 'Autumn Is Warmer Than Death']",
mbrainz_5609,From Beyond,Massacre,1991-01-01,United States of America,"['Dawn of Eternity', 'Cryptic Realms', 'Biohazard', 'Chamber of Ages', 'From Beyond', 'Defeat Remains', 'Succubus', 'Symbolic Immortality', 'Corpsegrinder']",
mbrainz_5616,Electro-Shock Blues (orig.),EELS,1998-01-01,United States of America,"['Elizabeth on the Bathroom Floor', 'Going to Your Funeral, Part I', 'Cancer for the Cure', 'My Descent Into Madness', '3 Speed', 'Hospital Food', 'Electro-Shock Blues', ""Efils' God"", 'Going to Your Funeral, Part II', 'Last Stop: This Town', 'Baby Genius', 'Climbing to the Moon', 'Ant Farm', 'Dead of Winter', 'The Medication Is Wearing Off', 'P.S. You Rock My World']",22.78 minutes
mbrainz_5624,Troubled Mind,Young Dre D,1996-01-01,United States of America,"['Beware of da Kreep', 'Dirt by My Lonely', 'Sucka Free', 'Battle Field', 'Slangin Again', 'Feel the Power', 'Same Ass Nigga', 'Rise & Fall', 'Troubled Mind', ""You Don't Wont None a Dis"", 'So Much Madness', 'My Pistola', 'Meat Rack', 'Thrill Kill', 'Gimme the Kat']",
mbrainz_5629,Beggars Would Ride (orig.),Frank the Baptist,2004-01-01,Germany,"['Signing Off', 'Queen Frostine', 'Faithless Aloysius', 'While Falling Apart', 'Eskimos and Butterflies', 'Different Degrees of Empty', 'Beggars Would Ride', 'Old Hat', 'Visions', 'Vines on the Victrola', 'Come Home', 'All the Faces']",
mbrainz_5630,The Agnew Funeral E.P.,Lotion,1995-01-01,United States of America,"['Marijuana Vietnam', 'Walk Away Renee', 'Switch', 'Famous Redheads', 'Treat Me', 'Untitled']",
mbrainz_5631,Broken Music,Dissecting Table,2008-01-14,United States of America,"['Thought Freeze', 'Cerebral Phenomenon', 'Sometimes I Want to Die, and Sometimes I Want to Live', 'Liberation of Spirits', 'Asynchronous System', 'Asynchronous System (long version)']",
mbrainz_5639,Higher Learning / Awake,Exit Calm,2008-02-18,United Kingdom of Great Britain and Northern Ireland,"['Higher Learning', 'Awake']",
